cell,gds,subckt,primary_deck,testbench,results,plot
INV_X4PC_T5_nmos,gds/INV_X4PC_T5_nmos.gds,INV_X4PC_T5_nmos,3d_inv_x4pc_transfer,sim/NG_spice_macros/tb/3d_inv_x4pc_transfer.cir,sim/NG_spice_macros/results/3d_inv_x4pc_transfer.dat,sim/NG_spice_macros/plots/3d_inv_x4pc_transfer.svg
NAND3_X4RL_T5,gds/NAND3_X4RL_T5.gds,NAND3_X4RL_T5,3d_nand3_x4rl_transfer_a1,sim/NG_spice_macros/tb/3d_nand3_x4rl_transfer_a1.cir,sim/NG_spice_macros/results/3d_nand3_x4rl_transfer_a1.dat,sim/NG_spice_macros/plots/3d_nand3_x4rl_transfer_a1.svg
analog_mux_bl_sl_pitch260,gds/analog_mux_bl_sl_pitch260.gds,analog_mux_bl_sl_nmos,analog_mux_bl_sl_tran,sim/NG_spice_macros/tb/analog_mux_bl_sl_tran.cir,sim/NG_spice_macros/results/analog_mux_bl_sl_tran.dat,sim/NG_spice_macros/plots/analog_mux_bl_sl_tran.svg
column_decoder_3to8_nmos_vertical_pitch260,gds/column_decoder_3to8_nmos_vertical_pitch260.gds,column_decoder_3to8_nmos,column_decoder_3to8_tran,sim/NG_spice_macros/tb/column_decoder_3to8_tran.cir,sim/NG_spice_macros/results/column_decoder_3to8_tran.dat,sim/NG_spice_macros/plots/column_decoder_3to8_tran.svg
column_driver_vertical_pitch260,gds/column_driver_vertical_pitch260.gds,write_driver,write_driver_tran,sim/NG_spice_macros/tb/write_driver_tran.cir,sim/NG_spice_macros/results/write_driver_tran.dat,sim/NG_spice_macros/plots/write_driver_tran.svg
nfet_W20p825_L5,gds/nfet_W20p825_L5.gds,nfet_W20p825_L5,3d_nfet_W20p825_L5_idvds_vg3,sim/NG_spice_macros/tb/3d_nfet_W20p825_L5_idvds_vg3.cir,sim/NG_spice_macros/results/3d_nfet_W20p825_L5_idvds_vg3.dat,sim/NG_spice_macros/plots/3d_nfet_W20p825_L5_idvds_vg3.svg
nfet_W24u_L5,gds/nfet_W24u_L5.gds,nfet_W24u_L5,3d_nfet_W24u_L5_idvds_vg3,sim/NG_spice_macros/tb/3d_nfet_W24u_L5_idvds_vg3.cir,sim/NG_spice_macros/results/3d_nfet_W24u_L5_idvds_vg3.dat,sim/NG_spice_macros/plots/3d_nfet_W24u_L5_idvds_vg3.svg
nfet_W6u_L5,gds/nfet_W6u_L5.gds,nfet_W6u_L5,3d_nfet_W6u_L5_idvds_vg3,sim/NG_spice_macros/tb/3d_nfet_W6u_L5_idvds_vg3.cir,sim/NG_spice_macros/results/3d_nfet_W6u_L5_idvds_vg3.dat,sim/NG_spice_macros/plots/3d_nfet_W6u_L5_idvds_vg3.svg
precharge_equalizer_nmos_6u_pitch260,gds/precharge_equalizer_nmos_6u_pitch260.gds,precharge_equalizer_nmos_6u,precharge_equalizer_tran,sim/NG_spice_macros/tb/precharge_equalizer_tran.cir,sim/NG_spice_macros/results/precharge_equalizer_tran.dat,sim/NG_spice_macros/plots/precharge_equalizer_tran.svg
row_decoder_3to8_nmos,gds/row_decoder_3to8_nmos.gds,row_decoder_3to8_nmos,row_decoder_3to8_tran,sim/NG_spice_macros/tb/row_decoder_3to8_tran.cir,sim/NG_spice_macros/results/row_decoder_3to8_tran.dat,sim/NG_spice_macros/plots/row_decoder_3to8_tran.svg
sense_amp_sl_slb_pitch260,gds/sense_amp_sl_slb_pitch260.gds,opamp_6u,opamp_6u_sense_tran,sim/NG_spice_macros/tb/opamp_6u_sense_tran.cir,sim/NG_spice_macros/results/opamp_6u_sense_tran.dat,sim/NG_spice_macros/plots/opamp_6u_sense_tran.svg
wl_inv,gds/wl_inv.gds,wl_inv,3d_wl_inv_transfer,sim/NG_spice_macros/tb/3d_wl_inv_transfer.cir,sim/NG_spice_macros/results/3d_wl_inv_transfer.dat,sim/NG_spice_macros/plots/3d_wl_inv_transfer.svg
wl_prebuffer,gds/wl_prebuffer.gds,wl_prebuffer,3d_wl_prebuffer_transfer,sim/NG_spice_macros/tb/3d_wl_prebuffer_transfer.cir,sim/NG_spice_macros/results/3d_wl_prebuffer_transfer.dat,sim/NG_spice_macros/plots/3d_wl_prebuffer_transfer.svg
wl_sel,gds/wl_sel.gds,wl_sel,3d_wl_sel_transfer,sim/NG_spice_macros/tb/3d_wl_sel_transfer.cir,sim/NG_spice_macros/results/3d_wl_sel_transfer.dat,sim/NG_spice_macros/plots/3d_wl_sel_transfer.svg
