name,category,source_file,status,rc,seconds,data_rows,dat,raw,log,notes
3d_inv_x4pc_transfer,3d_macro,3d_tft_macros.spice,pass,0,0.048,701,results/3d_inv_x4pc_transfer.dat,results/3d_inv_x4pc_transfer.raw,results/3d_inv_x4pc_transfer.log,
3d_nand3_x4rl_transfer_a1,3d_macro,3d_tft_macros.spice,pass,0,0.084,701,results/3d_nand3_x4rl_transfer_a1.dat,results/3d_nand3_x4rl_transfer_a1.raw,results/3d_nand3_x4rl_transfer_a1.log,
3d_nfet_W20p825_L5_idvds_vg3,primitive_dc,3d_tft_macros.spice,pass,0,0.046,801,results/3d_nfet_W20p825_L5_idvds_vg3.dat,results/3d_nfet_W20p825_L5_idvds_vg3.raw,results/3d_nfet_W20p825_L5_idvds_vg3.log,
3d_nfet_W24u_L5_idvds_vg3,primitive_dc,3d_tft_macros.spice,pass,0,0.083,801,results/3d_nfet_W24u_L5_idvds_vg3.dat,results/3d_nfet_W24u_L5_idvds_vg3.raw,results/3d_nfet_W24u_L5_idvds_vg3.log,
3d_nfet_W6u_L5_idvds_vg3,primitive_dc,3d_tft_macros.spice,pass,0,0.046,801,results/3d_nfet_W6u_L5_idvds_vg3.dat,results/3d_nfet_W6u_L5_idvds_vg3.raw,results/3d_nfet_W6u_L5_idvds_vg3.log,
3d_wl_inv_transfer,3d_macro,3d_tft_macros.spice,pass,0,0.046,701,results/3d_wl_inv_transfer.dat,results/3d_wl_inv_transfer.raw,results/3d_wl_inv_transfer.log,
3d_wl_prebuffer_transfer,3d_macro,3d_tft_macros.spice,pass,0,0.046,701,results/3d_wl_prebuffer_transfer.dat,results/3d_wl_prebuffer_transfer.raw,results/3d_wl_prebuffer_transfer.log,
3d_wl_sel_transfer,3d_macro,3d_tft_macros.spice,pass,0,0.074,701,results/3d_wl_sel_transfer.dat,results/3d_wl_sel_transfer.raw,results/3d_wl_sel_transfer.log,
analog_mux_2to1_diff_schematic_tran,mux_tran,analog_mux_2to1_diff_nmos.spice,pass,0,0.075,548,results/analog_mux_2to1_diff_schematic_tran.dat,results/analog_mux_2to1_diff_schematic_tran.raw,results/analog_mux_2to1_diff_schematic_tran.log,"Warning: vselb: no DC value, transient time 0 value used | Warning: vsel: no DC value, transient time 0 value used | Warning: vselb: no DC value, transient time 0 value used | Warning: vsel: no DC value, transient time 0 value used"
analog_mux_2to1_diff_tran,mux_tran,analog_mux_2to1_diff_nmos.spice,pass,0,0.085,548,results/analog_mux_2to1_diff_tran.dat,results/analog_mux_2to1_diff_tran.raw,results/analog_mux_2to1_diff_tran.log,"Warning: vselb: no DC value, transient time 0 value used | Warning: vsel: no DC value, transient time 0 value used | Warning: vselb: no DC value, transient time 0 value used | Warning: vsel: no DC value, transient time 0 value used"
analog_mux_bl_sl_tran,mux_tran,analog_mux_bl_sl_nmos.spice,pass,0,0.082,546,results/analog_mux_bl_sl_tran.dat,results/analog_mux_bl_sl_tran.raw,results/analog_mux_bl_sl_tran.log,"Warning: vselb: no DC value, transient time 0 value used | Warning: vsel: no DC value, transient time 0 value used | Warning: vselb: no DC value, transient time 0 value used | Warning: vsel: no DC value, transient time 0 value used"
column_decoder_3to8_tran,decoder_tran,column_decoder_3to8_nmos.spice,pass,0,0.819,970,results/column_decoder_3to8_tran.dat,results/column_decoder_3to8_tran.raw,results/column_decoder_3to8_tran.log,"Warning: vc0: no DC value, transient time 0 value used | Warning: vc2: no DC value, transient time 0 value used | Warning: vc1: no DC value, transient time 0 value used | Warning: vc0: no DC value, transient time 0 value used"
inv_x4pc_transfer,logic,peripheral_ic.spice,pass,0,0.084,701,results/inv_x4pc_transfer.dat,results/inv_x4pc_transfer.raw,results/inv_x4pc_transfer.log,
nand3_x4rl_transfer_a1,logic,peripheral_ic.spice,pass,0,0.088,701,results/nand3_x4rl_transfer_a1.dat,results/nand3_x4rl_transfer_a1.raw,results/nand3_x4rl_transfer_a1.log,
nand3_x4rl_truth_tran,logic,peripheral_ic.spice,pass,0,0.077,939,results/nand3_x4rl_truth_tran.dat,results/nand3_x4rl_truth_tran.raw,results/nand3_x4rl_truth_tran.log,"Warning: va1: no DC value, transient time 0 value used | Warning: va3: no DC value, transient time 0 value used | Warning: va2: no DC value, transient time 0 value used | Warning: va1: no DC value, transient time 0 value used"
nfet_w20p825_l5_idvds_vg3,primitive_dc,generated/native_tft,pass,0,0.046,801,results/nfet_w20p825_l5_idvds_vg3.dat,results/nfet_w20p825_l5_idvds_vg3.raw,results/nfet_w20p825_l5_idvds_vg3.log,
nfet_w24u_l5_idvds_vg3,primitive_dc,generated/native_tft,pass,0,0.045,801,results/nfet_w24u_l5_idvds_vg3.dat,results/nfet_w24u_l5_idvds_vg3.raw,results/nfet_w24u_l5_idvds_vg3.log,
nfet_w6u_l5_idvds_vg3,primitive_dc,generated/native_tft,pass,0,0.046,801,results/nfet_w6u_l5_idvds_vg3.dat,results/nfet_w6u_l5_idvds_vg3.raw,results/nfet_w6u_l5_idvds_vg3.log,
nfet_w6u_l5_idvg_vd0p1,primitive_dc,generated/native_tft,pass,0,0.047,601,results/nfet_w6u_l5_idvg_vd0p1.dat,results/nfet_w6u_l5_idvg_vd0p1.raw,results/nfet_w6u_l5_idvg_vd0p1.log,
nfet_w6u_l5_idvg_vd2p0,primitive_dc,generated/native_tft,pass,0,0.05,601,results/nfet_w6u_l5_idvg_vd2p0.dat,results/nfet_w6u_l5_idvg_vd2p0.raw,results/nfet_w6u_l5_idvg_vd2p0.log,
opamp_6u_sense_tran,sense_tran,tb_sense_amp.sp,pass,0,0.232,2029,results/opamp_6u_sense_tran.dat,results/opamp_6u_sense_tran.raw,results/opamp_6u_sense_tran.log,"Warning: isl: no DC value, transient time 0 value used | Warning: islb: no DC value, transient time 0 value used | Warning: isl: no DC value, transient time 0 value used | Warning: islb: no DC value, transient time 0 value used"
peripheral_ic_top_smoke_tran,top_smoke,peripheral_ic.spice,pass,0,0.124,364,results/peripheral_ic_top_smoke_tran.dat,results/peripheral_ic_top_smoke_tran.raw,results/peripheral_ic_top_smoke_tran.log,"dat extracted from ASCII raw because ngspice-36 wrdata rejected this vector expression | Warning: vselbmux: no DC value, transient time 0 value used | Warning: vselmux: no DC value, transient time 0 value used | Warning: vpchg: no DC value, transient time 0 value used | Warning: veq: no DC value, transient time 0 value used"
precharge_equalizer_tran,precharge_tran,tb_precharge.sp,pass,0,0.292,2538,results/precharge_equalizer_tran.dat,results/precharge_equalizer_tran.raw,results/precharge_equalizer_tran.log,"dat extracted from ASCII raw because ngspice-36 wrdata rejected this vector expression | Error: RHS ""v(eq)"" invalid | Error: no such vector veq_out | Warning: veq: no DC value, transient time 0 value used | Warning: vpchg: no DC value, transient time 0 value used"
row_decoder_3to8_tran,decoder_tran,row_decoder_3to8_nmos.spice,pass,0,0.485,970,results/row_decoder_3to8_tran.dat,results/row_decoder_3to8_tran.raw,results/row_decoder_3to8_tran.log,"Warning: vd0: no DC value, transient time 0 value used | Warning: vd2: no DC value, transient time 0 value used | Warning: vd1: no DC value, transient time 0 value used | Warning: vd0: no DC value, transient time 0 value used"
wl_driver_nmos_tran,wl,peripheral_ic.spice,pass,0,0.246,648,results/wl_driver_nmos_tran.dat,results/wl_driver_nmos_tran.raw,results/wl_driver_nmos_tran.log,"Warning: vin: no DC value, transient time 0 value used | Warning: vin: no DC value, transient time 0 value used"
wl_inv_transfer,wl,peripheral_ic.spice,pass,0,0.089,701,results/wl_inv_transfer.dat,results/wl_inv_transfer.raw,results/wl_inv_transfer.log,
wl_prebuffer_transfer,wl,peripheral_ic.spice,pass,0,0.086,701,results/wl_prebuffer_transfer.dat,results/wl_prebuffer_transfer.raw,results/wl_prebuffer_transfer.log,
wl_sel_tran,wl,peripheral_ic.spice,pass,0,0.181,655,results/wl_sel_tran.dat,results/wl_sel_tran.raw,results/wl_sel_tran.log,"Warning: venb: no DC value, transient time 0 value used | Warning: ven: no DC value, transient time 0 value used | Warning: venb: no DC value, transient time 0 value used | Warning: ven: no DC value, transient time 0 value used"
write_driver_tran,write_tran,column_driver.spice,pass,0,1.263,2309,results/write_driver_tran.dat,results/write_driver_tran.raw,results/write_driver_tran.log,"Warning: vdin: no DC value, transient time 0 value used | Warning: vwl: no DC value, transient time 0 value used | Warning: vdin: no DC value, transient time 0 value used | Warning: vwl: no DC value, transient time 0 value used"
stack_sram_array_f0,,,skipped_no_devices_or_physical_only,,,,,,,Subckt is empty/physical-only in source netlist; no meaningful electrical output to plot.
stack_sram_array_f1,,,skipped_no_devices_or_physical_only,,,,,,,Subckt is empty/physical-only in source netlist; no meaningful electrical output to plot.
stack_sram_array_f2,,,skipped_no_devices_or_physical_only,,,,,,,Subckt is empty/physical-only in source netlist; no meaningful electrical output to plot.
stack_sram_array_f3,,,skipped_no_devices_or_physical_only,,,,,,,Subckt is empty/physical-only in source netlist; no meaningful electrical output to plot.
stack_sram_array_f4,,,skipped_no_devices_or_physical_only,,,,,,,Subckt is empty/physical-only in source netlist; no meaningful electrical output to plot.
stack_sram_array_f5,,,skipped_no_devices_or_physical_only,,,,,,,Subckt is empty/physical-only in source netlist; no meaningful electrical output to plot.
wl_pad,,,skipped_no_devices_or_physical_only,,,,,,,Subckt is empty/physical-only in source netlist; no meaningful electrical output to plot.
open3dstack_padframe,,,skipped_no_devices_or_physical_only,,,,,,,Subckt is empty/physical-only in source netlist; no meaningful electrical output to plot.
open3dstack_user_project_wrapper,,,skipped_no_devices_or_physical_only,,,,,,,Subckt is empty/physical-only in source netlist; no meaningful electrical output to plot.
